2015-12-30 18:42:27 status half-installed libtext-iconv-perl 1.7-1+b1
2015-12-30 18:42:27 status unpacked libtext-iconv-perl 1.7-1+b1
2015-12-30 18:42:27 status unpacked libtext-iconv-perl 1.7-1+b1
2015-12-30 18:42:27 install libtext-wrapi18n-perl <none> 0.06-6
2015-12-30 18:42:27 status half-installed libtext-wrapi18n-perl 0.06-6
2015-12-30 18:42:28 status unpacked libtext-wrapi18n-perl 0.06-6
2015-12-30 18:42:28 status unpacked libtext-wrapi18n-perl 0.06-6
2015-12-30 18:42:28 install makedev <none> 2.3.1-88
2015-12-30 18:42:28 status half-installed makedev 2.3.1-88
2015-12-30 18:42:28 status unpacked makedev 2.3.1-88
2015-12-30 18:42:28 status unpacked makedev 2.3.1-88
2015-12-30 18:42:28 upgrade mawk 1.3.3-11.1 1.3.3-11.1
2015-12-30 18:42:28 status half-configured mawk 1.3.3-11.1
2015-12-30 18:42:28 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:28 status half-installed mawk 1.3.3-11.1
2015-12-30 18:42:28 status half-installed mawk 1.3.3-11.1
2015-12-30 18:42:28 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:28 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:28 install mktemp <none> 1.5-9
2015-12-30 18:42:28 status half-installed mktemp 1.5-9
2015-12-30 18:42:28 status unpacked mktemp 1.5-9
2015-12-30 18:42:28 status unpacked mktemp 1.5-9
2015-12-30 18:42:28 install libncurses5 <none> 5.7+20081213-1
2015-12-30 18:42:28 status half-installed libncurses5 5.7+20081213-1
2015-12-30 18:42:29 status unpacked libncurses5 5.7+20081213-1
2015-12-30 18:42:29 status unpacked libncurses5 5.7+20081213-1
2015-12-30 18:42:29 install ncurses-base <none> 5.7+20081213-1
2015-12-30 18:42:29 status half-installed ncurses-base 5.7+20081213-1
2015-12-30 18:42:29 status unpacked ncurses-base 5.7+20081213-1
2015-12-30 18:42:29 status unpacked ncurses-base 5.7+20081213-1
2015-12-30 18:42:29 install ncurses-bin <none> 5.7+20081213-1
2015-12-30 18:42:29 status half-installed ncurses-bin 5.7+20081213-1
2015-12-30 18:42:29 status unpacked ncurses-bin 5.7+20081213-1
2015-12-30 18:42:29 status unpacked ncurses-bin 5.7+20081213-1
2015-12-30 18:42:29 install libpam-modules <none> 1.0.1-5+lenny1
2015-12-30 18:42:29 status half-installed libpam-modules 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam-modules 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam-modules 1.0.1-5+lenny1
2015-12-30 18:42:30 install libpam-runtime <none> 1.0.1-5+lenny1
2015-12-30 18:42:30 status half-installed libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:30 install libpam0g <none> 1.0.1-5+lenny1
2015-12-30 18:42:30 status half-installed libpam0g 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam0g 1.0.1-5+lenny1
2015-12-30 18:42:30 status unpacked libpam0g 1.0.1-5+lenny1
2015-12-30 18:42:30 upgrade perl-base 5.10.0-19lenny5 5.10.0-19lenny5
2015-12-30 18:42:30 status half-configured perl-base 5.10.0-19lenny5
2015-12-30 18:42:30 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:30 status half-installed perl-base 5.10.0-19lenny5
2015-12-30 18:42:30 status half-installed perl-base 5.10.0-19lenny5
2015-12-30 18:42:31 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:31 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:31 install procps <none> 1:3.2.7-11
2015-12-30 18:42:31 status half-installed procps 1:3.2.7-11
2015-12-30 18:42:31 status unpacked procps 1:3.2.7-11
2015-12-30 18:42:31 status unpacked procps 1:3.2.7-11
2015-12-30 18:42:31 install sed <none> 4.1.5-6
2015-12-30 18:42:31 status half-installed sed 4.1.5-6
2015-12-30 18:42:31 status unpacked sed 4.1.5-6
2015-12-30 18:42:31 status unpacked sed 4.1.5-6
