2035-12-08 08:41:06 status unpacked hostname 2.95
2035-12-08 08:41:08 install lsb-base <none> 3.2-20
2035-12-08 08:41:08 status half-installed lsb-base 3.2-20
2035-12-08 08:41:12 status unpacked lsb-base 3.2-20
2035-12-08 08:41:13 status unpacked lsb-base 3.2-20
2035-12-08 08:41:23 install lzma <none> 4.43-14
2035-12-08 08:41:23 status half-installed lzma 4.43-14
2035-12-08 08:41:28 status unpacked lzma 4.43-14
2035-12-08 08:41:30 status unpacked lzma 4.43-14
2035-12-08 08:41:31 install liblocale-gettext-perl <none> 1.05-4
2035-12-08 08:41:31 status half-installed liblocale-gettext-perl 1.05-4
2035-12-08 08:41:37 status unpacked liblocale-gettext-perl 1.05-4
2035-12-08 08:41:40 status unpacked liblocale-gettext-perl 1.05-4
2035-12-08 08:41:41 install libselinux1 <none> 2.0.65-5
2035-12-08 08:41:41 status half-installed libselinux1 2.0.65-5
2035-12-08 08:41:45 status unpacked libselinux1 2.0.65-5
2035-12-08 08:41:47 status unpacked libselinux1 2.0.65-5
2035-12-08 08:41:48 install libsepol1 <none> 2.0.30-2
2035-12-08 08:41:48 status half-installed libsepol1 2.0.30-2
2035-12-08 08:41:52 status unpacked libsepol1 2.0.30-2
2035-12-08 08:42:05 status unpacked libsepol1 2.0.30-2
2035-12-08 08:42:06 install libtext-charwidth-perl <none> 0.04-5+b1
2035-12-08 08:42:06 status half-installed libtext-charwidth-perl 0.04-5+b1
2035-12-08 08:42:10 status unpacked libtext-charwidth-perl 0.04-5+b1
2035-12-08 08:42:12 status unpacked libtext-charwidth-perl 0.04-5+b1
2035-12-08 08:42:13 install libtext-iconv-perl <none> 1.7-1+b1
2035-12-08 08:42:13 status half-installed libtext-iconv-perl 1.7-1+b1
2035-12-08 08:42:20 status unpacked libtext-iconv-perl 1.7-1+b1
2035-12-08 08:42:21 status unpacked libtext-iconv-perl 1.7-1+b1
2035-12-08 08:42:23 install libtext-wrapi18n-perl <none> 0.06-6
2035-12-08 08:42:23 status half-installed libtext-wrapi18n-perl 0.06-6
2035-12-08 08:42:27 status unpacked libtext-wrapi18n-perl 0.06-6
2035-12-08 08:42:28 status unpacked libtext-wrapi18n-perl 0.06-6
2035-12-08 08:42:29 install makedev <none> 2.3.1-88
2035-12-08 08:42:29 status half-installed makedev 2.3.1-88
2035-12-08 08:42:34 status unpacked makedev 2.3.1-88
2035-12-08 08:42:35 status unpacked makedev 2.3.1-88
2035-12-08 08:42:37 upgrade mawk 1.3.3-11.1 1.3.3-11.1
2035-12-08 08:42:37 status half-configured mawk 1.3.3-11.1
2035-12-08 08:42:38 status unpacked mawk 1.3.3-11.1
2035-12-08 08:42:55 status half-installed mawk 1.3.3-11.1
2035-12-08 08:42:57 status half-installed mawk 1.3.3-11.1
2035-12-08 08:43:01 status unpacked mawk 1.3.3-11.1
2035-12-08 08:43:03 status unpacked mawk 1.3.3-11.1
2035-12-08 08:43:05 install mktemp <none> 1.5-9
2035-12-08 08:43:05 status half-installed mktemp 1.5-9
2035-12-08 08:43:09 status unpacked mktemp 1.5-9
2035-12-08 08:43:10 status unpacked mktemp 1.5-9
2035-12-08 08:43:12 install libncurses5 <none> 5.7+20081213-1
2035-12-08 08:43:12 status half-installed libncurses5 5.7+20081213-1
2035-12-08 08:43:18 status unpacked libncurses5 5.7+20081213-1
2035-12-08 08:43:19 status unpacked libncurses5 5.7+20081213-1
2035-12-08 08:43:22 install ncurses-base <none> 5.7+20081213-1
2035-12-08 08:43:22 status half-installed ncurses-base 5.7+20081213-1
2035-12-08 08:43:27 status unpacked ncurses-base 5.7+20081213-1
2035-12-08 08:43:28 status unpacked ncurses-base 5.7+20081213-1
2035-12-08 08:43:42 install ncurses-bin <none> 5.7+20081213-1
2035-12-08 08:43:42 status half-installed ncurses-bin 5.7+20081213-1
2035-12-08 08:43:47 status unpacked ncurses-bin 5.7+20081213-1
2035-12-08 08:43:50 status unpacked ncurses-bin 5.7+20081213-1
2035-12-08 08:43:52 install libpam-modules <none> 1.0.1-5+lenny1
2035-12-08 08:43:52 status half-installed libpam-modules 1.0.1-5+lenny1
2035-12-08 08:44:06 status unpacked libpam-modules 1.0.1-5+lenny1
2035-12-08 08:44:07 status unpacked libpam-modules 1.0.1-5+lenny1
2035-12-08 08:44:09 install libpam-runtime <none> 1.0.1-5+lenny1
2035-12-08 08:44:09 status half-installed libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:44:27 status unpacked libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:44:29 status unpacked libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:44:31 install libpam0g <none> 1.0.1-5+lenny1
2035-12-08 08:44:31 status half-installed libpam0g 1.0.1-5+lenny1
2035-12-08 08:44:35 status unpacked libpam0g 1.0.1-5+lenny1
2035-12-08 08:44:37 status unpacked libpam0g 1.0.1-5+lenny1
2035-12-08 08:44:38 upgrade perl-base 5.10.0-19lenny5 5.10.0-19lenny5
2035-12-08 08:44:38 status half-configured perl-base 5.10.0-19lenny5
2035-12-08 08:44:40 status unpacked perl-base 5.10.0-19lenny5
2035-12-08 08:44:41 status half-installed perl-base 5.10.0-19lenny5
2035-12-08 08:44:54 status half-installed perl-base 5.10.0-19lenny5
2035-12-08 08:45:12 status unpacked perl-base 5.10.0-19lenny5
2035-12-08 08:45:16 status unpacked perl-base 5.10.0-19lenny5
2035-12-08 08:45:18 install procps <none> 1:3.2.7-11
2035-12-08 08:45:18 status half-installed procps 1:3.2.7-11
2035-12-08 08:45:26 status unpacked procps 1:3.2.7-11
2035-12-08 08:45:27 status unpacked procps 1:3.2.7-11
2035-12-08 08:45:29 install sed <none> 4.1.5-6
2035-12-08 08:45:29 status half-installed sed 4.1.5-6
2035-12-08 08:45:35 status unpacked sed 4.1.5-6
2035-12-08 08:45:36 status unpacked sed 4.1.5-6
2035-12-08 08:45:38 install login <none> 1:4.1.1-6+lenny1
2035-12-08 08:45:38 status half-installed login 1:4.1.1-6+lenny1
2035-12-08 08:46:09 status unpacked login 1:4.1.1-6+lenny1
2035-12-08 08:46:12 status unpacked login 1:4.1.1-6+lenny1
2035-12-08 08:46:15 install passwd <none> 1:4.1.1-6+lenny1
2035-12-08 08:46:15 status half-installed passwd 1:4.1.1-6+lenny1
2035-12-08 08:46:27 status unpacked passwd 1:4.1.1-6+lenny1
2035-12-08 08:46:28 status unpacked passwd 1:4.1.1-6+lenny1
2035-12-08 08:46:30 install libslang2 <none> 2.1.3-3
2035-12-08 08:46:30 status half-installed libslang2 2.1.3-3
2035-12-08 08:46:37 status unpacked libslang2 2.1.3-3
2035-12-08 08:46:38 status unpacked libslang2 2.1.3-3
2035-12-08 08:46:55 install initscripts <none> 2.86.ds1-61
2035-12-08 08:46:55 status half-installed initscripts 2.86.ds1-61
2035-12-08 08:47:02 status unpacked initscripts 2.86.ds1-61
2035-12-08 08:47:05 status unpacked initscripts 2.86.ds1-61
2035-12-08 08:47:07 install sysv-rc <none> 2.86.ds1-61
2035-12-08 08:47:07 status half-installed sysv-rc 2.86.ds1-61
2035-12-08 08:47:11 status unpacked sysv-rc 2.86.ds1-61
2035-12-08 08:47:12 status unpacked sysv-rc 2.86.ds1-61
2035-12-08 08:47:14 install sysvinit-utils <none> 2.86.ds1-61
2035-12-08 08:47:14 status half-installed sysvinit-utils 2.86.ds1-61
2035-12-08 08:47:19 status unpacked sysvinit-utils 2.86.ds1-61
2035-12-08 08:47:20 status unpacked sysvinit-utils 2.86.ds1-61
2035-12-08 08:47:22 install sysvinit <none> 2.86.ds1-61
2035-12-08 08:47:22 status half-installed sysvinit 2.86.ds1-61
2035-12-08 08:47:28 status unpacked sysvinit 2.86.ds1-61
2035-12-08 08:47:44 status unpacked sysvinit 2.86.ds1-61
2035-12-08 08:47:45 install tar <none> 1.20-1+lenny1
2035-12-08 08:47:45 status half-installed tar 1.20-1+lenny1
2035-12-08 08:47:55 status unpacked tar 1.20-1+lenny1
2035-12-08 08:47:57 status unpacked tar 1.20-1+lenny1
2035-12-08 08:47:58 install tzdata <none> 2011k-0lenny1
2035-12-08 08:47:58 status half-installed tzdata 2011k-0lenny1
2035-12-08 08:48:46 status unpacked tzdata 2011k-0lenny1
2035-12-08 08:48:48 status unpacked tzdata 2011k-0lenny1
2035-12-08 08:48:50 install bsdutils <none> 1:2.13.1.1-1
2035-12-08 08:48:50 status half-installed bsdutils 1:2.13.1.1-1
2035-12-08 08:48:55 status unpacked bsdutils 1:2.13.1.1-1
2035-12-08 08:48:56 status unpacked bsdutils 1:2.13.1.1-1
2035-12-08 08:48:57 install mount <none> 2.13.1.1-1
2035-12-08 08:48:57 status half-installed mount 2.13.1.1-1
2035-12-08 08:49:02 status unpacked mount 2.13.1.1-1
2035-12-08 08:49:04 status unpacked mount 2.13.1.1-1
2035-12-08 08:49:06 install util-linux <none> 2.13.1.1-1
2035-12-08 08:49:06 status half-installed util-linux 2.13.1.1-1
2035-12-08 08:49:29 status unpacked util-linux 2.13.1.1-1
2035-12-08 08:49:32 status unpacked util-linux 2.13.1.1-1
2035-12-08 08:49:33 install zlib1g <none> 1:1.2.3.3.dfsg-12
2035-12-08 08:49:33 status half-installed zlib1g 1:1.2.3.3.dfsg-12
2035-12-08 08:49:37 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2035-12-08 08:49:41 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2035-12-08 08:49:45 startup packages configure
2035-12-08 08:49:45 configure sysv-rc 2.86.ds1-61 2.86.ds1-61
2035-12-08 08:49:45 status unpacked sysv-rc 2.86.ds1-61
2035-12-08 08:49:46 status half-configured sysv-rc 2.86.ds1-61
2035-12-08 08:49:47 status installed sysv-rc 2.86.ds1-61
2035-12-08 08:49:49 configure gcc-4.2-base 4.2.4-6 4.2.4-6
2035-12-08 08:49:49 status unpacked gcc-4.2-base 4.2.4-6
2035-12-08 08:49:50 status half-configured gcc-4.2-base 4.2.4-6
2035-12-08 08:49:51 status installed gcc-4.2-base 4.2.4-6
2035-12-08 08:49:53 configure libpam-runtime 1.0.1-5+lenny1 1.0.1-5+lenny1
2035-12-08 08:49:53 status unpacked libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:50:07 status unpacked libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:50:10 status unpacked libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:50:11 status half-configured libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:50:13 status installed libpam-runtime 1.0.1-5+lenny1
2035-12-08 08:50:14 configure gcc-4.3-base 4.3.2-1.1 4.3.2-1.1
2035-12-08 08:50:14 status unpacked gcc-4.3-base 4.3.2-1.1
